0,0,-10,3.86
50,0,-10,4.86
100,0,-10,5.98
150,0,-10,7.16
200,0,-10,8.32
250,0,-10,9.4
300,0,-10,10.41
350,0,-10,11.4
400,0,-10,12.51
450,0,-10,13.79
500,0,-10,15.15
550,0,-10,16.27
600,0,-10,16.62
650,0,-10,15.67
700,0,-10,13.28
750,0,-10,9.88
800,0,-10,6.35
850,0,-10,3.4
900,0,-10,1.31
950,0,-10,0
1000,0,-10,-0.75
0,50,-10,4.46
50,50,-10,5.8
100,50,-10,7.35
150,50,-10,8.99
200,50,-10,10.6
250,50,-10,12.02
300,50,-10,13.22
350,50,-10,14.33
400,50,-10,15.65
450,50,-10,17.45
500,50,-10,19.75
550,50,-10,22.13
600,50,-10,23.63
650,50,-10,23.02
700,50,-10,19.56
750,50,-10,13.99
800,50,-10,8.23
850,50,-10,3.77
900,50,-10,0.95
950,50,-10,-0.61
1000,50,-10,-1.36
0,100,-10,5.1
50,100,-10,6.91
100,100,-10,9.08
150,100,-10,11.46
200,100,-10,13.78
250,100,-10,15.7
300,100,-10,17.03
350,100,-10,17.98
400,100,-10,19.17
450,100,-10,21.29
500,100,-10,24.72
550,100,-10,29.09
600,100,-10,33
650,100,-10,33.82
700,100,-10,29.1
750,100,-10,19.8
800,100,-10,10.26
850,100,-10,3.63
900,100,-10,0.05
950,100,-10,-1.59
1000,100,-10,-2.21
0,150,-10,5.73
50,150,-10,8.14
100,150,-10,11.21
150,150,-10,14.77
200,150,-10,18.33
250,150,-10,21.1
300,150,-10,22.45
350,150,-10,22.61
400,150,-10,22.78
450,150,-10,24.46
500,150,-10,28.61
550,150,-10,35.24
600,150,-10,42.82
650,150,-10,46.9
700,150,-10,41.16
750,150,-10,26.19
800,150,-10,11.24
850,150,-10,2.29
900,150,-10,-1.65
950,150,-10,-3.01
1000,150,-10,-3.28
0,200,-10,6.21
50,200,-10,9.36
100,200,-10,13.65
150,200,-10,19.05
200,200,-10,24.81
250,200,-10,29.24
300,200,-10,30.55
350,200,-10,28.75
400,200,-10,26.2
450,200,-10,25.82
500,200,-10,29.28
550,200,-10,36.88
600,200,-10,47.25
650,200,-10,54.6
700,200,-10,48.15
750,200,-10,27.86
800,200,-10,8.72
850,200,-10,-0.96
900,200,-10,-4.19
950,200,-10,-4.77
1000,200,-10,-4.47
0,250,-10,6.36
50,250,-10,10.24
100,250,-10,16.01
150,250,-10,24.01
200,250,-10,33.46
250,250,-10,41.2
300,250,-10,42.65
350,250,-10,36.95
400,250,-10,29.07
450,250,-10,24.49
500,250,-10,25.28
550,250,-10,31.25
600,250,-10,40.79
650,250,-10,47.84
700,250,-10,40.66
750,250,-10,19.74
800,250,-10,1.71
850,250,-10,-5.76
900,250,-10,-7.14
950,250,-10,-6.57
1000,250,-10,-5.6
0,300,-10,5.92
50,300,-10,10.34
100,300,-10,17.45
150,300,-10,28.34
200,300,-10,42.85
250,300,-10,56.12
300,300,-10,58.17
350,300,-10,46.14
400,300,-10,30.29
450,300,-10,20.18
500,300,-10,17.24
550,300,-10,19.71
600,300,-10,25.52
650,300,-10,29.73
700,300,-10,22.85
750,300,-10,5.93
800,300,-10,-6.87
850,300,-10,-10.43
900,300,-10,-9.64
950,300,-10,-7.99
1000,300,-10,-6.48
0,350,-10,4.73
50,350,-10,9.19
100,350,-10,16.9
150,350,-10,29.68
200,350,-10,48.34
250,350,-10,66.84
300,350,-10,69.22
350,350,-10,50.5
400,350,-10,27.42
450,350,-10,13.3
500,350,-10,7.67
550,350,-10,6.8
600,350,-10,8.08
650,350,-10,8.45
700,350,-10,2.68
750,350,-10,-7.59
800,350,-10,-13.48
850,350,-10,-13.24
900,350,-10,-10.95
950,350,-10,-8.73
1000,350,-10,-6.99
0,400,-10,2.78
50,400,-10,6.67
100,400,-10,13.83
150,400,-10,26.37
200,400,-10,45.53
250,400,-10,64.8
300,400,-10,66.06
350,400,-10,44.42
400,400,-10,19.6
450,400,-10,5.47
500,400,-10,-0.09
550,400,-10,-2.05
600,400,-10,-3.51
650,400,-10,-6.14
700,400,-10,-10.59
750,400,-10,-14.59
800,400,-10,-15.21
850,400,-10,-13.24
900,400,-10,-10.83
950,400,-10,-8.77
1000,400,-10,-7.15
0,450,-10,0.27
50,450,-10,3.05
100,450,-10,8.66
150,450,-10,19.19
200,450,-10,36
250,450,-10,53.03
300,450,-10,53.05
350,450,-10,32.1
400,450,-10,9.83
450,450,-10,-1.08
500,450,-10,-3.72
550,450,-10,-3.38
600,450,-10,-3.3
650,450,-10,-4.92
700,450,-10,-7.87
750,450,-10,-10.44
800,450,-10,-11.38
850,450,-10,-10.92
900,450,-10,-9.78
950,450,-10,-8.42
1000,450,-10,-7.1
0,500,-10,-2.46
50,500,-10,-1.08
100,500,-10,2.4
150,500,-10,9.93
200,500,-10,23.16
250,500,-10,37.2
300,500,-10,36.61
