25,25,-25,2.1447965208721E-14,2.1447965208721E-14,-8.5286810003618E-15,-8.5389051098062E-15,-1.7730310530679E-14,-8.5389051098062E-15,-1.7730310530679E-14
75,25,-25,2.0872960607165E-14,2.0872960607165E-14,-5.0375445595147E-15,-1.0033661572126E-14,-1.7596285539147E-14,-1.0033661572126E-14,-1.7596285539147E-14
125,25,-25,2.179647022531E-14,2.179647022531E-14,-3.5295065213887E-15,-1.0692124623664E-14,-1.8662989284418E-14,-1.0692124623664E-14,-1.8662989284418E-14
175,25,-25,2.2995833751018E-14,2.2995833751018E-14,-2.1936646110939E-15,-1.0727371082017E-14,-2.0221763403501E-14,-1.0727371082017E-14,-2.0221763403501E-14
225,25,-25,2.3979197607231E-14,2.3979197607231E-14,-4.6775750753558E-16,-1.0029746095584E-14,-2.1775842442002E-14,-1.0029746095584E-14,-2.1775842442002E-14
275,25,-25,2.4481255692788E-14,2.4481255692788E-14,1.4491831568306E-15,-8.5004706576439E-15,-2.2912305581764E-14,-8.5004706576439E-15,-2.2912305581764E-14
325,25,-25,2.4427185628391E-14,2.4427185628391E-14,3.3053344428195E-15,-6.1916362029713E-15,-2.3397132368627E-14,-6.1916362029713E-15,-2.3397132368627E-14
375,25,-25,2.3774344395049E-14,2.3774344395049E-14,4.6801741941342E-15,-3.386512536989E-15,-2.3061807252767E-14,-3.386512536989E-15,-2.3061807252767E-14
425,25,-25,2.2581026703543E-14,2.2581026703543E-14,5.1488858435536E-15,-6.8076787676374E-16,-2.1975629607684E-14,-6.8076787676374E-16,-2.1975629607684E-14
475,25,-25,2.1068665519085E-14,2.1068665519085E-14,4.7444688040724E-15,1.162294036601E-15,-2.0494578675707E-14,1.162294036601E-15,-2.0494578675707E-14
525,25,-25,1.9386364483945E-14,1.9386364483945E-14,4.2642850279383E-15,1.866926919978E-15,-1.881918130473E-14,1.866926919978E-15,-1.881918130473E-14
575,25,-25,1.7555025474692E-14,1.7555025474692E-14,4.0237295252667E-15,1.725566902583E-15,-1.7000321731935E-14,1.725566902583E-15,-1.7000321731935E-14
625,25,-25,1.5642156759901E-14,1.5642156759901E-14,4.3849057317975E-15,1.3566679712961E-15,-1.4953565522652E-14,1.3566679712961E-15,-1.4953565522652E-14
675,25,-25,1.3526408530797E-14,1.3526408530797E-14,4.7678353332663E-15,1.3032314642036E-15,-1.2590991292491E-14,1.3032314642036E-15,-1.2590991292491E-14
725,25,-25,1.1314473798025E-14,1.1314473798025E-14,4.7626886675269E-15,1.5757648825501E-15,-1.0141552101002E-14,1.5757648825501E-15,-1.0141552101002E-14
775,25,-25,9.1819337031173E-15,9.1819337031173E-15,4.3250022097818E-15,1.9573267744009E-15,-7.8594614517814E-15,1.9573267744009E-15,-7.8594614517814E-15
825,25,-25,7.2466525738164E-15,7.2466525738164E-15,3.6996308388919E-15,2.2746013117407E-15,-5.8011114498988E-15,2.2746013117407E-15,-5.8011114498988E-15
875,25,-25,5.4772178334524E-15,5.4772178334524E-15,2.7916092383571E-15,2.4135048723269E-15,-4.0474470085057E-15,2.4135048723269E-15,-4.0474470085057E-15
925,25,-25,4.038324906845E-15,4.038324906845E-15,1.8823661709063E-15,2.3012237919105E-15,-2.7329717728908E-15,2.3012237919105E-15,-2.7329717728908E-15
975,25,-25,2.8474482717113E-15,2.8474482717113E-15,1.3328443222654E-15,1.9972408112253E-15,-1.5305282795991E-15,1.9972408112253E-15,-1.5305282795991E-15
25,75,-25,2.0860303613249E-14,2.0860303613249E-14,-1.0031342312983E-14,-5.0165543774752E-15,-1.7588593474593E-14,-5.0165543774752E-15,-1.7588593474593E-14
75,75,-25,1.8723155661394E-14,1.8723155661394E-14,-5.5531337084394E-15,-5.5383187907994E-15,-1.7001361383973E-14,-5.5383187907994E-15,-1.7001361383973E-14
125,75,-25,1.8920286871479E-14,1.8920286871479E-14,-3.4059946602383E-15,-5.320283165086E-15,-1.7834546327754E-14,-5.320283165086E-15,-1.7834546327754E-14
175,75,-25,1.969396837445E-14,1.969396837445E-14,-1.2975010690819E-15,-4.3274123106827E-15,-1.9168786711811E-14,-4.3274123106827E-15,-1.9168786711811E-14
225,75,-25,2.0549473227195E-14,2.0549473227195E-14,1.2702552215621E-15,-2.4360788192462E-15,-2.0364990095104E-14,-2.4360788192462E-15,-2.0364990095104E-14
275,75,-25,2.1260725873946E-14,2.1260725873946E-14,4.2966391999512E-15,6.1661485284363E-16,-2.0812908071574E-14,6.1661485284363E-16,-2.0812908071574E-14
325,75,-25,2.1861717307607E-14,2.1861717307607E-14,7.0706367072504E-15,5.0010582863628E-15,-2.0073121237321E-14,5.0010582863628E-15,-2.0073121237321E-14
375,75,-25,2.2461845226915E-14,2.2461845226915E-14,8.5747420123776E-15,1.0037208688583E-14,-1.8173132150537E-14,1.0037208688583E-14,-1.8173132150537E-14
425,75,-25,2.2657369446457E-14,2.2657369446457E-14,7.9518066557462E-15,1.4246868513481E-14,-1.5721065444252E-14,1.4246868513481E-14,-1.5721065444252E-14
475,75,-25,2.1870675284847E-14,2.1870675284847E-14,5.5592845608087E-15,1.6127116355035E-14,-1.3687107461343E-14,1.6127116355035E-14,-1.3687107461343E-14
525,75,-25,1.9943093939994E-14,1.9943093939994E-14,3.347380079991E-15,1.5239400166216E-14,-1.2421059740353E-14,1.5239400166216E-14,-1.2421059740353E-14
575,75,-25,1.7369296163961E-14,1.7369296163961E-14,2.372675410912E-15,1.2661084914282E-14,-1.1651600294345E-14,1.2661084914282E-14,-1.1651600294345E-14
625,75,-25,1.5065309412181E-14,1.5065309412181E-14,3.1104238092308E-15,1.0069520988298E-14,-1.0765387056579E-14,1.0069520988298E-14,-1.0765387056579E-14
675,75,-25,1.3184054421324E-14,1.3184054421324E-14,4.1696224065046E-15,8.3799750756454E-15,-9.2849102151372E-15,8.3799750756454E-15,-9.2849102151372E-15
725,75,-25,1.1502394299986E-14,1.1502394299986E-14,4.5504954015872E-15,7.4897955678151E-15,-7.4499012466482E-15,7.4897955678151E-15,-7.4499012466482E-15
775,75,-25,9.8446246749941E-15,9.8446246749941E-15,4.1852990896552E-15,6.9227288630282E-15,-5.610323663625E-15,6.9227288630282E-15,-5.610323663625E-15
825,75,-25,8.1060223608814E-15,8.1060223608814E-15,3.3568791499866E-15,6.2305276605995E-15,-3.9521495363915E-15,6.2305276605995E-15,-3.9521495363915E-15
875,75,-25,6.3975116356414E-15,6.3975116356414E-15,2.3525364909592E-15,5.3758617141136E-15,-2.5483010060823E-15,5.3758617141136E-15,-2.5483010060823E-15
925,75,-25,4.9057549488192E-15,4.9057549488192E-15,1.2775980501869E-15,4.494019066724E-15,-1.4959837793051E-15,4.494019066724E-15,-1.4959837793051E-15
975,75,-25,3.5609389843819E-15,3.5609389843819E-15,5.4243255839131E-16,3.4854611199573E-15,-4.874568199887E-16,3.4854611199573E-15,-4.874568199887E-16
25,125,-25,2.1785760822478E-14,2.1785760822478E-14,-1.0667521067431E-14,-3.5549111863553E-15,-1.8659742102913E-14,-3.5549111863553E-15,-1.8659742102913E-14
